35367-000-000,21906  FRONT BEACH RD   PANAMA CITY BEACH 32413,"['RF900', '9512581', '9506386', '931038']"
35368-000-000,21905  FRONT BEACH RD   PANAMA CITY BEACH 32413,"['18-0001', '17-0018', '15-1403', '15-0191', '15-0226', '14-0232', '14-0035', '13-0020', 'SP135', '99-01244', '9710643', '9511973', '9511973', '9509917']"
35370-000-000,21918  FRONT BEACH RD   PANAMA CITY BEACH 32413,"['18-0557', '9800710', '9704348']"
35370-012-000,101  DOWNING ST  A-F PANAMA CITY BEACH 32413,"['18-0144', '9506182', '9506183', '9506184']"
35370-013-000,103  DOWNING ST   PANAMA CITY BEACH 32413,"['DIS19-07664', '18-0144', '17-0779', '9500815']"
35370-013-010,103  DOWNING ST   PANAMA CITY BEACH 32413,['17-0786']
35370-014-000,105  DOWNING ST   PANAMA CITY BEACH 32413,"['SP086', '402912']"
35370-017-000,111  DOWNING ST   PANAMA CITY BEACH 32413,"['10-0566', 'B2428', 'B1862']"
35370-019-000,115  DOWNING ST   PANAMA CITY BEACH 32413,"['14-1220', 'N320']"
35370-020-000,117  DOWNING ST   PANAMA CITY BEACH 32413,['9803470']
36459-920-020,22431  PC BCH PKWY   PANAMA CITY BEACH 32413,"['08-1439', '08-1046', '08-1122']"
36463-000-000,23223  FRONT BEACH RD   PANAMA CITY BEACH 32413,"['DIS19-00802', '17-0010', 'F294', 'B101', '9514676', '9514678', '9512037', '9510716']"
36565-000-000,20723  FRONT BEACH RD   PANAMA CITY BEACH 32413,"['DIS19-12835', 'DIS19-12755', '16-0058', '07-1585', '9604574', '9602969', '9602967', '9514057', '9514057', '9513429', '9513429', '9511602', '9511602', '9510731', '9510747']"
36568-025-000,139  CHELSEA DR   PANAMA CITY BEACH 32413,"['B494', 'RF146']"
36568-030-000,141  CHELSEA DR   PANAMA CITY BEACH 32413,['92554']
36568-035-000,20708  FRONT BEACH RD   PANAMA CITY BEACH 32413,['9514196']
36570-000-000,20800  FRONT BEACH RD   PANAMA CITY BEACH 32413,"['17-0053', '9510270']"
36571-000-000,114  12TH ST   PANAMA CITY BEACH 32413,['0400172']
36573-000-000,20647  FRONT BEACH RD   PANAMA CITY BEACH 32413,"['RB19-01740', '18-0831', '99-01528', '9512560']"
36573-010-000,20643  FRONT BEACH RD   PANAMA CITY BEACH 32413,"['18-0514', '17-0757', '99-01528', '9512563']"
36573-020-000,20645  FRONT BEACH RD   PANAMA CITY BEACH 32413,"['17-1102', '16-1505', '99-01528', '9603875', '9512564']"
36576-000-000,109  LAKE PL   PANAMA CITY BEACH 32413,['16-0873']
36576-010-000,128  LAKE PL   PANAMA CITY BEACH 32413,"['9310626', '9508638', '9510836']"
36578-000-000,121  LAKE PL   PANAMA CITY BEACH 32413,"['13-1579', '9501578']"
36582-121-000,613  16TH ST   PANAMA CITY BEACH 32413,"['DIS19-11237', '5888']"
35293-005-010,20943  LAKEVIEW DR S  PANAMA CITY BEACH 32413,"['SP064', 'B-2527']"
35293-005-020,21001  LAKEVIEW DR S  PANAMA CITY BEACH 32413,"['500249', '502513']"
35293-005-030,135  DOWNING CT   PANAMA CITY BEACH 32413,"['9799', '9708097']"
35293-005-060,140  DOWNING CT   PANAMA CITY BEACH 32413,['3592']
35293-005-090,20931  LAKEVIEW DR S  PANAMA CITY BEACH 32413,"['18-03142', '9804686', '9804312', '9801387']"
35293-005-110,20940  LAKEVIEW DR S  PANAMA CITY BEACH 32413,"['17-0123', '16-0582', '10-0720', '9805194']"
35293-005-115,20936  LAKEVIEW DR S  PANAMA CITY BEACH 32413,"['DIS19-07237', '1766', 'B-1766', '13270']"
35293-005-120,20944  LAKEVIEW DR S  PANAMA CITY BEACH 32413,"['12-0707', 'RF293', 'B073']"
35293-027-000,702  AVENUE C    PANAMA CITY BEACH 32413,['B689']
35293-028-000,704  AVENUE C    PANAMA CITY BEACH 32413,"['0402571', '91-6717']"
35293-029-000,712  AVENUE C    PANAMA CITY BEACH 32413,"['11-0120', '9613218']"
35293-030-000,726  AVENUE C    PANAMA CITY BEACH 32413,['RF-1348']
35293-032-000,718  AVENUE C    PANAMA CITY BEACH 32413,['12-0021']
35293-037-000,818  AVENUE C    PANAMA CITY BEACH 32413,['19974']
35293-040-000,20477  VERONA ST  A PANAMA CITY BEACH 32413,['10411']
35293-042-000,20475  VERONA ST   PANAMA CITY BEACH 32413,['9511184']
35293-044-000,20479  VERONA ST   PANAMA CITY BEACH 32413,['MH154']
35293-050-000,616  AVENUE B    PANAMA CITY BEACH 32413,"['20519', '925872']"
35293-064-000,20421  SPIRES ST   PANAMA CITY BEACH 32413,"['17-0232', 'B200']"
35293-065-000,20503  SPIRES ST   PANAMA CITY BEACH 32413,"['17-0013', '16-0148', '91-5216']"
35293-065-010,20507  SPIRES ST   PANAMA CITY BEACH 32413,"['DIS19-08274', '08-0072']"
35293-069-000,20508  VERONA ST   PANAMA CITY BEACH 32413,['09-0309']
35293-071-000,20504  VERONA ST   PANAMA CITY BEACH 32413,['MH492']
35293-072-000,20502  VERONA ST   PANAMA CITY BEACH 32413,['9514318']
35293-075-000,20472  VERONA ST   PANAMA CITY BEACH 32413,['9506205']
35294-001-000,20419  HERLONG ST   PANAMA CITY BEACH 32413,"['13-0226', '502595', '9401315']"
35294-002-000,20421  HERLONG ST   PANAMA CITY BEACH 32413,['9614692']
35294-004-000,20503  HERLONG ST   PANAMA CITY BEACH 32413,"['500475', '9604041']"
35294-007-000,20509  HERLONG ST   PANAMA CITY BEACH 32413,"['4066', '3598']"
35294-011-000,20502  SPIRES ST   PANAMA CITY BEACH 32413,['0859']
35294-012-000,20500  SPIRES ST   PANAMA CITY BEACH 32413,"['08-0265', '08-0023', '9504044']"
35294-013-000,20420  SPIRES ST   PANAMA CITY BEACH 32413,['21321']
35294-014-000,20418  SPIRES ST   PANAMA CITY BEACH 32413,"['17-1075', 'MH447', '9604068']"
35296-000-000,327  AZALEA DR   PANAMA CITY BEACH 32413,"['500166', '93-4631']"
35299-000-000,335  AZALEA DR   PANAMA CITY BEACH 32413,"['17-0475', '14-0301', '14-0062']"
35300-000-000,343  AZALEA DR   PANAMA CITY BEACH 32413,"['17-1046', '17-0345']"
35300-010-000,337  AZALEA DR   PANAMA CITY BEACH 32413,['13-1963']
35301-000-000,349  AZALEA DR   PANAMA CITY BEACH 32413,"['17-0112', '923749']"
35302-000-000,351  AZALEA DR   PANAMA CITY BEACH 32413,"['17-1047', '17-0335', '9510839', '9510839']"
35304-000-000,359  AZALEA DR   PANAMA CITY BEACH 32413,['9501977']
35307-000-000,328  AZALEA DR   PANAMA CITY BEACH 32413,"['RR20-00631', '11-0028', '9500536']"
35308-000-000,332  AZALEA DR   PANAMA CITY BEACH 32413,"['14-1240', '9811509', '922719', '92566']"
35314-000-000,356  AZALEA DR   PANAMA CITY BEACH 32413,['13-0095']
35314-010-000,360  AZALEA DR   PANAMA CITY BEACH 32413,['9600005']
35317-090-000,357  PALM DR   PANAMA CITY BEACH 32413,['B1195']
35318-000-000,351  PALM DR   PANAMA CITY BEACH 32413,['B495']
35319-001-000,347  PALM DR   PANAMA CITY BEACH 32413,"['500585', '6243', '6243']"
35320-010-000,335  PALM DR   PANAMA CITY BEACH 32413,"['17-0695', '15-1162']"
35322-000-000,330  PALM DR   PANAMA CITY BEACH 32413,"['18-0713', 'RB18-0399']"
35325-000-000,338  PALM DR   PANAMA CITY BEACH 32413,"['DIS19-07298', '18-1356']"
35325-010-000,340  PALM DR   PANAMA CITY BEACH 32413,['921156']
35331-010-000,343  TWIN LAKES DR   PANAMA CITY BEACH 32413,['16-0397']
35332-000-000,333  TWIN LAKES DR   PANAMA CITY BEACH 32413,['DIS19-08076']
35333-000-000,330  TWIN LAKES DR   PANAMA CITY BEACH 32413,"['11344', '9512330']"
35334-000-000,332  TWIN LAKES DR   PANAMA CITY BEACH 32413,"['18-0164', '17-1264', '9804314', '926927']"
35335-000-000,334  TWIN LAKES DR   PANAMA CITY BEACH 32413,['17-0307']
35336-000-000,340  TWIN LAKES DR   PANAMA CITY BEACH 32413,['B-2407']
35337-000-000,20679  PC BCH PKWY   PANAMA CITY BEACH 32413,['CB17-0147']
35340-000-000,527  CHRISTMAS TREE LN   PANAMA CITY BEACH 32413,"['15-1219', '15-0221', '12-0304']"
35341-000-000,20669  PANAMA CITY BEACH PKWY   PANAMA CITY BEACH 32413,['9512304']
35342-000-000,610  AVENUE C    PANAMA CITY BEACH 32413,['9608348']
35342-050-000,20660  PC BCH PKWY   PANAMA CITY BEACH 32413,['B005']
35344-000-000,20678  PC BCH PKWY   PANAMA CITY BEACH 32413,"['CB18-0186', '12-0389', '7174', '93-8036', '19804']"
35345-000-000,703  AVENUE C    PANAMA CITY BEACH 32413,['B0689']
