Parcel Id,Address,Use Code,Square Footage,Stories,Year Built,Occupancy,Exterior Walls,Roof Cover,Interior Walls,Frame Type,Floor Cover,Unit No,Floor,Living Area,Number of Bedrooms,Number of Bathrooms,Permit Number,Latitude,Longitude,Condo Bldg,Disaster Permit,Disaster Permit Type,Disaster Permit Description
21084-000-000,615 BONITA AVE N PANAMA CITY 32401,HOSPITALS (008500),225395,6,2010,HOSPITAL,ABOVE AVE; GLASS THRM,STAND SEAM,DRYWALL,FIREPROOF,HARDTILE,,,,,,,30.159663,-85.649014,,FALSE,,
21084-000-000,615 BONITA AVE N PANAMA CITY 32401,HOSPITALS (008500),12635,1,1988,HOSPITAL,COMMON BRK,BUILT-UP,DRYWALL,WOOD FRAME,CARPET; HARDTILE,,,,,,,30.159663,-85.649014,,FALSE,,
20802-000-000,518 MLK BLVD N PANAMA CITY 32401,HOSPITALS (008500),5512,1,1990,HOSPITAL,COMMON BRK,BUILT-UP,DRYWALL,MASONARY,CORK/VTILE; CARPET,,,,,,,30.158274,-85.650069,,FALSE,,
11903-011-000,3711 HWY 231 PANAMA CITY 32404,HOSPITALS (008500),13625,1,2020,HOSPITAL,CB STUCCO,POLY TPO,DRYWALL,MASONARY,CORK/VTILE,,,,,,,30.215686,-85.604847,,FALSE,,
38440-000-000,17784 FRONT BEACH RD PANAMA CITY BEACH 32413,HOTELS AND (003900),2125,1,1957,MOTEL LOW,C B STUCCO,COMP SHNGL,PLYWOOD,MASONARY,VINYL ASB; CARPET,,,,,,,30.234306,-85.912365,,FALSE,,
38440-000-000,17784 FRONT BEACH RD PANAMA CITY BEACH 32413,HOTELS AND (003900),1225,1,1957,MOTEL LOW,C B STUCCO,COMP SHNGL,PLYWOOD,MASONARY,VINYL ASB; CARPET,,,,,,,30.234306,-85.912365,,FALSE,,
38440-000-000,17784 FRONT BEACH RD PANAMA CITY BEACH 32413,HOTELS AND (003900),1904,1,1957,MOTEL LOW,C B STUCCO,COMP SHNGL,PLYWOOD,STEEL,VINYL ASB; CARPET,,,,,,,30.234306,-85.912365,,FALSE,,
38440-000-000,17784 FRONT BEACH RD PANAMA CITY BEACH 32413,HOTELS AND (003900),630,1,1957,MOTEL LOW,C B STUCCO,COMP SHNGL,PLYWOOD,MASONARY,VINYL ASB; CARPET,,,,,,,30.234306,-85.912365,,FALSE,,
38440-000-000,17784 FRONT BEACH RD PANAMA CITY BEACH 32413,HOTELS AND (003900),884,1,1957,MOTEL LOW,C B STUCCO,COMP SHNGL,PLYWOOD,MASONARY,VINYL ASB; CARPET,,,,,,,30.234306,-85.912365,,FALSE,,
38440-000-000,17784 FRONT BEACH RD PANAMA CITY BEACH 32413,HOTELS AND (003900),502,1,1940,MOTEL LOW,C B STUCCO,ROLL COMP,DRYWALL,WOOD FRAME,VINYL ASB,,,,,,,30.234306,-85.912365,,FALSE,,
38440-000-000,17784 FRONT BEACH RD PANAMA CITY BEACH 32413,HOTELS AND (003900),3167,2,2001,SFR AVERG,WD FR STUC,ENG SHINGL,DRYWALL,,CARPET; HARDTILE,,,,,,,30.234306,-85.912365,,FALSE,,
38377-000-000,17562 FRONT BEACH RD PANAMA CITY BEACH 32413,HOTELS AND (003900),64350,3,2020,HOTEL,C B STUCCO,POLY TPO,DRYWALL,MASONARY,CONC FINSH; CLAY TILE,,,,,,,30.230455,-85.904988,,FALSE,,
