BLDGID4,REGION4,CENDIV4,SQFTC4,PBA4,HTCNTL4,HTTHRM4,RDHTNF4,BOILER4,FURNAC4,SLFCON4,PKGHT4,HTPMPH4,DUCTHT4,REHEAT4,FNCLHT4,BBDRAD4,OTHTEQ4,OTHTQ14,CLCNTL4,CLTHRM4,RDCLNF4,CHILLR4,ACWNWL4,PKGCL4,HTPMPC4,DUCTCL4,FNCLCL4,OTCLEQ4,OTCLQ14,CHLYRC4,PKCYRC4,CFRIG4,CFRZR4,RFRIG4,RFRZR4,ICE4,SODA4,WTRCL4,OTREF4,OTREF14,PORVAC4,VAC3MP4,MONUSE4,YRCONC4,WLCNS4,RFCNS4,COMPRM4,GENER4,COGEN4,GRID4,PURPA4,FACIL4,PLANT4,BLDPLT4,ADJWT4,STRATUM4,PAIR4,ELSUPL4,NGSUPL4,FKSUPL4,STSUPL4,HWSUPL4,FACACT4,FACTSRC4
4535,2,4,4,3,2,,2,2,1,2,2,2,1,2,2,2,2,,,,,,,,,,,,,,,2,2,2,2,2,1,2,2,,2,0,12,6,5,3,2,2,,,,2,,,299.15,12,2,1,2,1,2,2,,
4536,1,2,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,2,0,12,9,4,5,2,2,,,,1,2,,506.06,5,1,1,2,2,2,2,12,3
4537,3,7,8,4,2,,1,1,2,1,1,1,1,1,1,2,2,,2,,1,1,1,1,1,1,1,2,,2,2,2,2,1,1,1,1,1,2,,2,0,12,5,3,4,2,2,,,,1,1,1,22.3,3,2,1,1,2,2,2,4,1
4538,3,5,2,3,1,1,1,2,1,2,2,2,1,1,2,2,2,,1,1,1,2,2,2,2,1,2,2,,,,2,2,1,2,2,2,2,2,,2,0,12,9,6,5,2,2,,,,2,,,2124.65,6,2,1,2,2,2,2,,
4539,1,2,7,3,2,,1,1,1,1,2,1,2,2,2,2,2,,2,,1,1,2,1,1,1,2,2,,3,3,1,2,1,2,2,1,2,2,,2,0,12,6,4,6,2,2,,,,1,2,,20.83,10,1,1,3,2,2,2,5,3
4540,1,2,7,12,1,1,1,1,2,1,2,1,1,2,2,1,2,,1,1,1,2,2,1,1,1,2,2,,,3,2,2,1,2,2,2,1,2,,1,80,12,3,4,4,2,2,,,,2,,,157.78,14,1,1,1,2,2,2,,
4541,3,7,2,3,1,1,2,2,1,2,2,2,2,2,2,2,2,,1,1,2,2,2,1,2,1,2,2,,,5,2,2,2,2,2,2,1,2,,2,0,12,9,6,5,2,2,,,,1,2,,1616.48,3,1,1,1,2,2,2,7,3
4542,4,9,6,20,2,,1,1,2,2,2,2,1,1,2,2,2,,2,,1,1,2,1,1,1,1,2,,3,3,2,2,1,2,2,1,1,2,,1,1,12,6,3,4,1,2,,,,1,2,,10.27,7,2,1,1,1,2,2,4,3
4543,3,6,3,3,1,1,1,2,2,2,1,2,1,2,2,2,2,,1,1,1,2,2,1,2,1,2,2,,,4,2,2,1,1,1,1,1,2,,2,0,12,8,4,4,2,2,,,,1,2,,2774.63,11,1,1,2,2,2,2,5,3
4544,3,5,4,2,2,,2,2,1,1,1,2,1,2,2,2,2,,2,,2,2,2,1,2,1,2,2,,,3,1,2,2,2,1,1,2,2,,2,0,12,6,1,4,2,2,,,,1,2,,24.38,4,2,1,1,2,2,2,17,3
